Event,Domain
Tutorial on The Five Phases of Ethical Hacking,Security
techexpo on Ethical Hacking: Enumeration 2020,Security
"online event on Malware Affecting IoT & Smart Devices: Detection, Prevention, and Removal",Security
National Workshop On Nanotechnology & Embedded hardware Systems ,Hardware
hardwear.io USA 2019 Talks | Hardware and Embedded systems,Hardware
Revolution of the open hardware | Bram Geenen | TEDtalksxMadrid,Hardware
Internship Hardware fields (Jul 2020),Hardware
Workshop on Computer Hardware and Networking - FAMT,Hardware
Workshop: Hardware & Processing | Digital Schoolhouse,Hardware
Student Hardware Competition | IEEE SoutheastCon 2020,Hardware
Hardware and Device Programming Competition - CodeProject,Hardware
Hardware Model Checking Competition 2019 - JKU,Hardware
14th China Hardware Product Design Competition 2019,Hardware
Sourcing Talent Hire & Associates is hirinng  Service Engineer - Computer Hardware & CCTV,Hardware
"Learn ""Arduino Programming and Hardware Fundamentals with Hackster"" from udemy and  get certifcation",Hardware
"Get certificate on ""Embedded Software and Hardware Architecture"" from coursera",Hardware
One day Workshop on Unix / Linux,Hardware
Linux hardware Training In Hyderabad ,Hardware
Linux hardware Security Fundamentals Training ,Hardware
Linux Online Training by Industry Experts |hardware,Hardware
Linux Networking Training |hardware,Hardware
Vmware hardware online | certification training ,Hardware
3 days hands on session forEmbedded Hardware and Operating Systems By EIT Digital ,Hardware
10 hours bootcamp on Introduction to Computer Hardware: Components & Peripherals,Hardware
Varanasi - Technex  hardware Internships by EISystems & Technex IIT BHU Varanasi. ,Hardware
New Delhi - Technex Internships by EISystems & Technex IIT BHU Varanasi -hardware,Hardware
Lucknow - Technex Internships by EISystems & Technex IIT BHU Varanasi. |hardware,Hardware
Indore - Technex Internships by EISystems & Technex IIT BHU Varanasi. Hardware,Hardware
Gorakhpur - Technex  hardware Internships by EISystems & Technex IIT BHU Varanasi ,Hardware
Bengaluru - Technex  hardware Internships by EISystems & Technex IIT BHU Varanasi. ,Hardware
PLC hardware Programming From Scratch (PLC I),Hardware
Arduino hardware Step by Step: Getting Started,Hardware
PLC Programming From Scratch (PLC I),Hardware
Arduino Step by Step: Getting Started,Hardware
Expert lecture on Mastering Microcontroller with Embedded Driver Development,Hardware
Practical PLC  hardware Programming (PLC II),Hardware
Process Visualization with HMI / SCADA (PLC III) hardware,Hardware
Arduino Step by Step Getting Serious,Hardware
Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,Hardware
Basic electronics for Arduino Makers|hardware,Hardware
Learn to Design Your Own Boards,Hardware
"From Wire to PLC , A Bootcamp In Industrial Automation",Hardware
Talk on Embedded Linux Step by Step using Beaglebone Black hardware,Hardware
Microcontroller Embedded C Programming: absolute beginners,Hardware
"2020 Ultimate Guide to Raspberry Pi hardware : Tips, Tricks and Hacks",Hardware
Arduino Bootcamp : Learning Through Projects,Hardware
Live session on 3D Printing Hardware By University Of Illionis,Hardware
Seminar on How To Build a Computer: A Beginner's Guide|hardware,Hardware
Online session on Beyond Arduino hardware: Electronics for Developers & Makers - (GPIO),Hardware
Apple Certified Macintosh Technician (ACMT),Hardware
Workshop on Hardware Description Languages for FPGA Design By University Of Colorado,Hardware
hiring for Computer Hardware EngineerSAVE at CBZ Enterprises,Hardware
"Posting  for Mobile Hardware EngineerSAVE at S p ENTERPRISES Pimpri-Chinchwad, Maharashtra",Hardware
Become webmaster in one week.,Web Development
internship opportunities in  Web Design: Wireframing,Web Development
Website designing company in delhi is hiring,Web Development
Webtrackker Review talks,Web Development
Expert Lecture on Front End web development  Technologies,Web Development
Web Developer Training ,Web Development
"Online Live Training Program - Web Development | Techfest, IIT Bombay ",Web Development
"Online Live Training Program - Android Development | Techfest, IIT Bombay ",Web Development
"Access ""The Complete 2020 Web Development Bootcamp"" and on successful completion get a certification",Web Development
"Get certification on ""Web Design for Everybody: Basics of Web Development & Coding Specialization""  from coursera",Web Development
You look like a good fit for the job at Pune Web Designers. Apply now.,Web Development
Google Developer Skills & Web Development Training.,Web Development
Web Development Course - Enroll Now & Start Learning?,Web Development
“Workshop on web Applications Development”,Web Development
2-Day Workshop on Android Application Development,Web Development
WEb Application Development Training Institute Hyderabad,Web Development
Web  Development Training - Tonex Training,Web Development
"Web   Online Courses: Design, Build, and Publish Apps from udemy",Web Development
Free Workshop - How to become a web developer,Web Development
Introduction to Web Development 2-Day Workshop,Web Development
Web Development Competition - CodeProject,Web Development
Web Design Contests and Web Design Competitions,Web Development
Inspiring Web page design Contests - 99designs,Web Development
Android Internship - web development  Internship,Web Development
Web Development Internship | Web Development Summer program,Web Development
6 Month Web Development Internship - Corporate School,Web Development
Web Development internship,Web Development
PHP web  Software Developer - intern,Web Development
Engineering Students: Web Development -Work from Home during Corona lockdown ,Web Development
Hiring on Urgent Basis Web Developer,Web Development
Urgent Opening for Web Developer || IT Company || Hinjewadi Pune,Web Development
IIT Bombay is hiring for part time web developer,Web Development
Full Stack Web Development Course,Web Development
"Talk on""The next 5000 days of the web""  ",Web Development
Talk by A 12-year-old web  developer,Web Development
"TED talk on ""A Magna Carta for the web""",Web Development
Web Development Course - Buy Now For a Special Price,Web Development
Web Development Courses - Codecademy.com,Web Development
Top web development courses: free and paid - Justinmind,Web Development
Web Development internship  at LearnTEZ Private Limited,Web Development
Web Development Internship | Web Development Summe,Web Development
Getting prepped with Web Development skills for a hackathon.,Web Development
"Web Development Hackathon Events in Bangalore, India - F6S",Web Development
Web Development Hackathon - Nizampet | MeraEvents.com,Web Development
"Web Development Hackathon - WnCC, IITB",Web Development
"Web Development - Online Courses, Classes, Training ",Web Development
Best Web Development Courses in 2020 (Beginner to advanced),Web Development
Web Development Courses | Web Development Training,Web Development
Web Development | Codecademy,Web Development
Learn Web Development Online | PHP Online Training,Web Development
Career expo,Higher Education
Australia studies fair in your college!!!,Higher Education
Talk on Bag scholarships for studying abroad!,Higher Education
Master Class on Studying in the UAE is going *LIVE* in 10 minutes! Grab your seat,Higher Education
Hear from experts When to go for study abroad: Spring or Fall?,Higher Education
Live session on What is the cost of studying abroad?,Higher Education
IG LIVE talk on - University & Alumni Updates | Imperial,Higher Education
Expert lecture on GATE exam preparation,Higher Education
Confirm your Seat  for Webinar - Study in UAE,Higher Education
Study Medicine in UK - Live Talk with UClan starting in 30 minutes,Higher Education
Planning to give your GRE Exam soon?register for this talk ,Higher Education
 Webinar - Study in UAE,Higher Education
" Webinar on Future of higher education: short, medium and long-term perspectives around the world",Higher Education
"Webinar on The future of internationalisation of higher education: short, medium and long-term perspectives",Higher Education
Career Education and Settlement immigrant and fair,Higher Education
Australia studies fair in your college,Higher Education
Disha Higher Education Expo 2020,Higher Education
Higher Education expo in Alappuzha,Higher Education
premier school exbhition 2020,Higher Education
The great India Education fair,Higher Education
29th career fair 2020,Higher Education
17 th Admission fair 2020,Higher Education
Study in India 2020,Higher Education
annual conference of the Higher Education Web Professionals ,Higher Education
 Leadership in Higher Education Conference,Higher Education
Workshop - Kerala State Higher Education Council,Higher Education
National Workshop on Examination Reforms in Higher Education by Pune university,Higher Education
12th International Workshop on Higher Education Reform,Higher Education
annual conference of the Higher Education Web Professionals ,Higher Education
 Leadership in Higher Education Conference,Higher Education
"Webinar on ""Your Study Abroad Journey""",Higher Education
"Webinar on ""Start A University Of Arizona Master's Degree From Wherever You Are""",Higher Education
"Live Session :""Start Exploring Your Overseas Education Today""!!",Higher Education
"Webinar on ""Impact of COVID-19 pandemic on research and education""",Higher Education
TechnoXian EduTech Expo,Higher Education
Education and Training Resources & Technology Expo,Higher Education
"Exhibition and Conference on Education, Technology and Infrastructure",Higher Education
A Webinar On Spot Decision - Yocket,Higher Education
Webinar On Updates About Current COVID-19 Situation And UK Universities September 2020 Intake,Higher Education
Webinar On importance Of IELTS Exam For Overseas Opportunities,Higher Education
Attend IDP's New Zealand Virtual Education Fair ,Higher Education
Chrystina Russell: A path to higher education and employment for refugees,Higher Education
"talks on ""Rethinking the way we provide access to higher education""",Higher Education
"TED talks on ""Rethinking access and success in higher education""",Higher Education
"TED talks on "" The Future of Higher Education""",Higher Education
"TED talks on "" Higher Education is Not About Getting a Job,""",Higher Education
"Mohr's TED talk, Rethinking Women & Higher Education,",Higher Education
Talks for Higher Education,Higher Education
5 Inspirational TED Talks About Higher Education,Higher Education
7 TED talks that will change your view on international education,Higher Education
Can you solve this quiz on IOT,IoT
One week course on IoT,IoT
Internet of Things Expo (IOTx),IoT
Smart city festival is awaiting!!,IoT
Smart IoT Taiwan (SIoT),IoT
Industrial IoT Expo,IoT
Carrier openings for IoT enthusiasts,IoT
Expert Lecture on IOT,IoT
Expert Lecture on IOT,IoT
"Online Live Training Program - Internet of Things | Techfest, IIT Bombay ",IoT
Kubernetes IoT Training ,IoT
Webinar on IOT applications in Industry 4.0,IoT
Python – IOT Workshop (Phase 1),IoT
Attend two days bootcamp on IOT applications,IoT
IEEE ComSoc Webinar: 5G's Role in the Internet of Things -,IoT
IEEE IoT Webinar: Integrating the IoT and Cultural Heritage in the Smart City,IoT
IEEE IoT Webinar: Social Impact of and on IoT,IoT
"Learn ""Industrial IoT on Google Cloud Platform"" and get certification from coursera",IoT
Complete Guide to Build IOT Things from Scratch to Market along with certifcation from udemy,IoT
"MIT HACKATHON PUNE, INTERNET OF THINGS (IOT) is live now",IoT
IoT Korea Exhibition 2020,IoT
IoT Course | IoT Training - From Beginner to Expert from www.springpeople.com,IoT
Internet Of Things Training - IOT Training - Intellipaat,IoT
IoT Training | Learn IoT | IoT Training Online | Internshala,IoT
IOT – Workshop on Internet of Things - i3indya™ Technologies,IoT
IoT Workshop - 5 Day - Innovians Technologies,IoT
"Workshop on IoT, Applications BY Amrita Vishwa",IoT
IoT Challenge 2020 - National Level Event on IoT at Aakaar,IoT
Biggest IoT Competitions in India - Engineering,IoT
Biggest IOT Competition in India - Skyfi Labs,IoT
Internet Of Things (IoT) Internship : Exa Mobility India Private Limited,IoT
Embedded Systems and IoT internship : iobot Technologies Private Limited,IoT
Internship : IoT - Transportation VLS,IoT
Iot- Internship,IoT
Internet of Things Engineer - Intern - SmartBridge,IoT
Amex IoT Hackathon,IoT
Faculty Training Program On Internet Of Things,IoT
One-week Workshop on IoT,IoT
IOT India Expo,IoT
IoT World  Fair,IoT
Talk by Dr. John Barrett:  on The Internet of Things,IoT
Talk by Ashkan Fardost: Internet of Things — Beyond Our Current Imagination,IoT
Talk byRodolphe el-Khoury: Designing for the Internet of Things,IoT
Marco Annunziata: Welcome to the Age of the Industrial Internet,IoT
Talk by Lorna Goulden: The Internet of Things,IoT
IEEE Talks IoT: Jacob West,IoT
Internet of Things Course | IoT Certification & Training,IoT
IOT Professional Certification | Jigsaw Academy,IoT
Why IoT Certification Could Boost Your Career,IoT
Certified IoT Architect - Arcitura,IoT
2 days Workshop on Java and Basic Concepts,Java
Java Programming Masterclass for Software Developers with certifcation from udemy,Java
Object Oriented Java Programming: Data Structures and Beyond Specialization with certification from coursera,Java
Java J2ee Online Training - 100% Job Guarantee?,Java
Java Training from Scratch - No Coding Experience Required?,Java
Java Training and Tutorials - Java - Online Courses,Java
JAVA - Core & Advanced Workshop - 5 Days | Innovians,Java
"Programming With Java Workshop - RoboTryst Tryst , IIT Delhi",Java
The Java Workshop - Packt - Workshop Learning,Java
ASSIST Java Contest | ASSIST Software Romania,Java
Java 4K Game Programming Contest,Java
Java Development Internship:LOGOS CORPORATE SOLUTIONS,Java
Java Development Internship In Jodhpur Pune At Chirpn It Solutions,Java
Java Internship in Pune:Maxgen Technologies,Java
CGI Full Stack JavaThon Challenge 2019,Java
Learning Java,Java
Hiring | Java Developers | Bengaluru and Hyderabad ,Java
Hiring For- MNC- Hyderabad For Java- Developer-Permanent Position,Java
Java Developer Jobs in Pune,Java
"talks on ""Using Java 9 Modules: Chances and Challenges""",Java
talks on Java 9 First Impressions,Java
talks on The Hitchhiker’s Guide to Java Class Reloading,Java
talks on Java Performance Engineer’s Survival Guide,Java
Learn Java | Codecademy,Java
Java and Dev Tech Training and Certification | Oracle University,Java
Java Training Classes Online | Java Certification Course ,Java
Free Java Tutorial - Learning Java for Complete Beginners,Java
Top Java Courses Online - Updated [July 2020] | Udemy,Java
Java Certification Course - Simplilearn,Java
Best Java Training Course in Pune | 100% Job Assistance,Java
Java Training | Certified Java Course | Learn Java Online ...,Java
Java Courses - Learn Java Skills Online | Coursera,Java
Codecademy.com - Java Training,Java
The Java Workshop - Packt - Workshop Learning,Java
The Java Workshop - Packt,Java
Welcome to the Java Workshop,Java
CORE JAVA Workshop,Java
Java Workshop - Robotech Labs,Java
JAVA - Core & Advanced Workshop - 5 Days | Innovians ...,Java
"Programming With Java Workshop - RoboTryst Tryst , IIT Delhi",Java
Java Workshop - Lesson #1 : 9 Steps - Instructables,Java
"The The Java Workshop: A New, Interactive Approach to learning",Java
Solve Java | HackerRank,Java
Java Internship | Internshala,Java
"3,000+ Java Internship jobs in India (96 new) - LinkedIn",Java
"14 Best java developer - internship jobs in Chinchwad, Pune .",Java
"Java Internship Jobs, 133815 Java Internship Openings ",Java
Java Internship Jobs - July 2020 | Indeed.com,Java
"Java Internship Jobs in Pune, Maharashtra - July 2020",Java
"Java internship job offers in pune, maharashtra - Trovit",Java
Great opportunity to learn AI,Artificial Intelligence
Live online classes for AI enthusiaists,Artificial Intelligence
Try out excellent courses on artificial intelligence,Artificial Intelligence
Are you a AI enthusiast??? Learn from here,Artificial Intelligence
Upscale Your Adobe Photoshop Skills with New Artificial Intelligence Features,Artificial Intelligence
Transform (The AI event of the year),Artificial Intelligence
AI Expo Africa,Artificial Intelligence
Industrial AI  Expo,Artificial Intelligence
AI  Expo Osaka,Artificial Intelligence
International Conference and Exhibition on Robotics and Artificial Intelligence,Artificial Intelligence
Artificial Intelligence Exhibition & Conference (AI EXPO),Artificial Intelligence
Industrial AI Expo,Artificial Intelligence
International Expo on Robotics Automation AI And Analytics (RobotAI Expo),Artificial Intelligence
Army Autonomy and Artificial Intelligence Symposium and Exposition (Army Autonomy and Artificial Intelligence Symposiu),Artificial Intelligence
Accelerate AI Career Lab & Expo,Artificial Intelligence
Ai With Tensorflow Training - Free demo ,Artificial Intelligence
RBCDSAI's International Summit on AI ,Artificial Intelligence
40 hour bootcamp on AI,Artificial Intelligence
ACM India Industry Webinar on 18 July with Srinivas Padmanabhuni: End to End Testing of AI Systems: Putting Quality Assurance Centre Stage,Artificial Intelligence
"Register for ACM India Industry Webinar on 23 May with Manish Gupta: ""AI for India and Beyond""",Artificial Intelligence
"Register for  Industry Webinar on 9 May with Suparna Bhattacharya: ""AI When Will System Software Catch Up?""",Artificial Intelligence
"Reminder to Register for ACM India Industry Webinar on 3 August with Monish Darda: ""The Ethics of AI: Musk versus Bezos""",Artificial Intelligence
"Register for ACM India Industry Webinar on 2 February with Gautam Shroff: ""Enterprise AI: Automation, Amplification, and Managing Complexity""",Artificial Intelligence
Webinar on 'Application of AI in Core Engineering' - 25th June 2020 at 4PM,Artificial Intelligence
Learn How To Build An AI with certification from udemy ,Artificial Intelligence
"Get ""IBM Applied AI Professional Certification "" from coursera",Artificial Intelligence
AI Expo Europe 2020,Artificial Intelligence
Two Days Workshop on Artificial Intelligence BY VIT,Artificial Intelligence
AI Workshop | Google Cloud,Artificial Intelligence
Public Workshop - Evolving Role of Artificial Intelligence in radiological imaging,Artificial Intelligence
AI for Good Idea Challenge – AI labs - Microsoft,Artificial Intelligence
The AI Challenge - Student - Agorize,Artificial Intelligence
"Artificial intelligence competition with $100,000 in prize money",Artificial Intelligence
AI Internship In Pune At Autovista,Artificial Intelligence
Artificial intelligence And Robotics Internship : Sankhkyiki Robotics Private Limited,Artificial Intelligence
Technical Consulting Intern- AI frameworks and tools : Intel Corporation,Artificial Intelligence
"VIP Reminder: July 24 Talk with Facebook AI Researcher Cristian Canton: ""Abuses and Misuses of AI: Prevention vs. Reactio",Artificial Intelligence
Artificial Intelligence Internship,Artificial Intelligence
AI Hackathon,Artificial Intelligence
"One-Day National Seminar on ""Recent trends in Artificial Intelligence"" ",Artificial Intelligence
National Workshop on Artificial Intelligence in Industry 4.0 (AI in Industry 4.0),Artificial Intelligence
Top job roles and salaries for Artificial Intelligence engineers in India,Artificial Intelligence
Attend The Virtual Session On Aritficial Intelligence,Artificial Intelligence
talk on The Incredible Inventions of Intuitive AI – Maurice Conti,Artificial Intelligence
talk on Can we Build AI without Losing Control Over it? – Sam Harris,Artificial Intelligence
talk on talk on Can we Build AI without Losing Control Over it? – Sam Harris,Artificial Intelligence
How AI can Compose a Personalized Soundtrack to your Life – Pierre Barreau,Artificial Intelligence
 Talk on How AI can save our humanity,Artificial Intelligence
 Talk on Can we protect AI from our biases? ,Artificial Intelligence
 Talk on 1. What AI is — and isn’t,Artificial Intelligence
Python 3 Complete Beginners Course 2020 ,Python
10 days course on python.,Python
Learn python for free,Python
Get Started with Python Programming,Python
"tutorial on Numerical Programming: Understanding Python, Numpy & Matplotlib",Python
Selenium with python training ,Python
Python Training ,Python
Online NLP Training Using Python ,Python
"Online Live Training Program - Python Programming | Techfest, IIT Bombay ",Python
IronPython Training at Mindmajix ,Python
"VIP Reminder: July 8 Webinarwith Author and Python's Pandas Creator Wes McKinney: ""Apache Arrow and the Future of Data Frames""",Python
Learn to Code in Python 3: Programming beginner to advanced along with certification,Python
"Get ""Google IT Automation with Python Professional Certification"" offered by google from coursera",Python
Winter Python Hackathon is live now,Python
Intel Python hackathon  HACKFURY² starts next month,Python
Mahiyoo Technologies and Consulting is hiring for  Python Django Full Stack Developer Freelance,Python
Job listings python developer pune persistent systems limited pune with  5 to 8 years work experience,Python
We have an urgent  job requirement of Node JS + Python  Developer for Persistent Systems based at Pune (Yerwada),Python
HARMAN HIRING FOR PYTHON DEVELOPER FOR PUNE(MAX 30 DAYS JOINERS),Python
Lobo Staffing Solutions Private Limited is hiring Python Automation Developer at Pune,Python
Ceequence Technologies is looking for: Python Fresher Required.,Python
Learn Python with Online Python Courses | edX,Python
Python Courses - Learn Python Skills Online | Coursera,Python
Python Workshops | python.fossee.in,Python
Python Workshop: Introduction and Beyond (2-Day Workshop),Python
PyWeek games programming contest | Python.org,Python
Great Learning Python Challenge | Programming challenges on hackerearth,Python
Python International Competition - Foshay Tech Academy,Python
Python Development internship:ToCan Analytics,Python
Python/Django Development internship Ungeek Mumbai,Python
Python Development For Step Motor Raspberry Pi Project Part Time :Infigo Research Laboratories Private Limited,Python
"Talk with Author and Python's Pandas Creator Wes McKinney: ""Apache Arrow and the Future of Data Frames""",Python
Python Challenge,Python
"Hands-on Workshop On ""Python""",Python
Workshop on Fundamentals of Python Programming,Python
Goldman Sachs Internship India Application Form | Apply Online for Python Development,Python
Live Lecture On Python ,Python
Refactoring Python: Why and How to Restructure Your Code,Python
talk on Solve Your Problems With Sloppy Python,Python
talk on Discovering Python at pycon 2014,Python
talk on Memory Management in Python: The Basics,Python
Master Python Online - Enroll Now For a Special Price,Python
Python Certification - W3Schools,Python
Google IT Automation with Python Professional Certificate,Python
Python Certifications: 4 Big Questions Answered - Dice Insights,Python
Python Certification | Python Online Course and Training,Python
Python/Django Internship | Internshala ,Python
325 Python Internship jobs in India (3 new) - LinkedIn,Python
"Python Internship Jobs, 21860 Python Internship Openings at firstnukari",Python
"Python Internship Jobs in Pune, Maharashtra - July 2020",Python
Free Live Webinar on Hyperion Financial Training ,Finance
Exclusive Talk on The true cost of financial dependence,Finance
Expert lecture on Let's get honest about our money problems,Finance
Learn Finance Skills with Finance Online Courses,Finance
Online Financial Modelling - Online Certification program?,Finance
1. Top Financial Analysis Courses Online - Updated ,Finance
Live talk on Develop confidence in  analysis and manegrial finance,Finance
"Get an certification on""The Complete Financial Analyst Course 2020"" from udemy",Finance
"Learn ""Finance & Quantitative Modeling for Analysts Specialization"" with certification from coursera",Finance
RANDSTAD INDIA PVT LTD is opening position for Financial Analyst,Finance
Valence Health is hiring Finance Coordinator for pune branch,Finance
Job listings for  oracle financial functional consultant at  tejoma technologies private limited,Finance
Financial Workshops for your Employees - FinMarie,Finance
A Two day Programme on 'Finance for non finance executives',Finance
"Corporate training in Analytics, Finance and ACcounting",Finance
Financial Modeling Competition - 2019 Case Championship,Finance
Competition and Finance | Cato Institute,Finance
