Event,Type
Free courses on Machine learning.,Courses
One week courses  on IoT,Courses
10 days courses  on python.,Courses
Become webmaster in one week with our course,Courses
Learn basics of networking with our courses,Courses
Become Data Analyst in one month by enrolling in our courses,Courses
Take the courses  of ML and upgrade your skills,Courses
Upgrade your skills with Big data courses,Courses
Learn python for free through our course,Courses
Boost your skills by this courses,Courses
Free courses on data science,Courses
Practical PLC Programming (PLC II) through our course,Courses
Trending courses of 2020.,Courses
Opportunity to learn blockchain basics from experts through our courses,Courses
learn cybersecurity skills in 15 days with our exclusive courses,Courses
Live online courses for AI enthusiaists,Courses
Upgrade your skills during this covid period by enroliing in our course,Courses
Try this brand new courses on cybersecurity.,Courses
Ethical hacking courses are live now!,Courses
Try out excellent courses on artificial intelligence,Courses
Are you a AI enthusiast??? Learn fromour courses,Courses
5 Steps to Master Microsoft Excel: Workbooks from our course,Courses
Learn Citrix Workspace: How to Architecture Microapps from our course,Courses
Learn Creating a Windows Virtual Machine in Microsoft Azure in 10 days from our course,Courses
Learn How to Deploy Microsoft SQL in the Cloud from our course,Courses
Upscale Your Adobe Photoshop Skills with New Artificial Intelligence Features  from our course,Courses
7 Citrix Secrets: How to Upskill Your Citrix Skills from our courses,Courses
Learn How to Build Step-by-Step ASP.NET Core App from our course,Courses
10 Reasons to learn on Microsoft Dynamics 365 from our courses,Courses
learn 7 Strategies for Achieving Customer Service Excellence from our course,Courses
 Get Started with Microsoft 365 and be an expert  from our course,Courses
Expert talk  on Mastering Microcontroller with Embedded Driver Development,Talks
Mastering Microsoft Teams - The Future of Teamwork from our course,Courses
grab this chance to learn Cloud Computing Migration Plan: What You Must Know from our courses,Courses
Exploring the New Office 365 from our courses,Courses
Get Started with Python Programming from our courses,Courses
 Master Agile Scrum and its Benefits by this courses,Courses
PowerPoint 2016: 10 Tips to Master Presentations from our course,Courses
master Office 365 Design Insights from our courses,Courses
Tutorial on The Five Phases of Ethical Hacking from our courses,Courses
"tutorial on Numerical Programming: Understanding Python, Numpy & Matplotlib from our courses",Courses
TechExpo 2020 ,Expos
Google Applied CS: Android Development using data structure expo,Expos
HOTWAX Industrial expo,Expos
Kirloskar Industrial expo,Expos
exhibition  for Project Managers in Artificial Intelligence ,Expos
one day event on Critical Thinking: Developing Problem-Solving & Decision-Making Skills,Expos
techexpo on Ethical Hacking: Enumeration 2020,Expos
IT Pros: What's New in Windows Server 2019 exhibition,Expos
live expo on Microsoft Word Essentials: Tips and Tricks for Better Productivity,Expos
"online event on Malware Affecting IoT & Smart Devices: Detection, Prevention, and Removal",Expos
"Grand event on SharePoint 2019 ""Wow"" | First Look at new SharePoint 2019",Expos
ASP.NET Functions on Microsoft Azure 2 days expo,Expos
Baoan Industry Development Expo,Expos
International Conference and Exhibition on Aerospace & Aeronautical Engineering,Expos
Transform (The AI event of the year),Expos
Internet of Things Expo (IOTx),Expos
AI Expo Africa,Expos
Industrial AI & IoT Expo,Expos
AI & Smart Home Expo Osaka,Expos
Technology Supply Chain Conference & Exposition (Technology Supply Chain Con),Expos
BIGIT - Annual Data Science Conference & Exhibition (BIGIT The 7th Annual Data Science Show),Expos
International Conference and Exhibition on Robotics and Artificial Intelligence,Expos
China International Smart Energy and Energy Data Center and Network Information Security Equipment Exhibition (SEDCISE),Expos
Artificial Intelligence Exhibition & Conference (AI EXPO),Expos
Industrial AI/IoT Expo,Expos
International Expo on Robotics Automation AI And Analytics (RobotAI Expo),Expos
Pakistan CIO Summit & Expo (PCSE),Expos
Middle East Cloud & Big Data Conference and Exhibition,Expos
Army Autonomy and Artificial Intelligence Symposium and Exposition (Army Autonomy and Artificial Intelligence Symposiu),Expos
Smart IoT Taiwan (SIoT) expo,Expos
Accelerate AI Career Lab & Expo,Expos
"International Exhibition of Electronic, Computer & E - Commerce",Expos
Smart Home Expo (SHE),Expos
PLC Programming From Scratch (PLC I) through our courses,Courses
Arduino Step by Step: Getting Started from our courses,Courses
Career expo,Expos
Arduino Step by Step: Getting Started from our course,Courses
Australia studies expo in your college!!!,Expos
Annual Diversity Employment Day Career Fair and Roundtables,Expos
PLC Programming From Scratch (PLC I) through our course,Courses
expo to the  Security Threats,Expos
INDIA INTERNATIONAL HOSPITALITY EXPO 2020 ,Expos
YouthFest is here!!!,Fests
Tech fest 2021 is here,Fests
Avishkar is here with full of new events,Fests
Biggest tech festival is coming back!!!,Fests
Contribute for this awesome IT fest,Fests
India's first virtual EDM festival is here,Fests
Techlligent 2020 is on!!!,Fests
Spectrum 2018 with exiciting events is on fire!!!,Fests
Kpit sparkle 2019 is back with innovative ideas!!!,Fests
The most awaited it festival is here,Fests
Avishkar is back with interesting events,Fests
INNOVISION 2020,Fests
codefest 2020,Fests
Smart city festival is awaiting!!,Fests
Trishul'20 ,Fests
Entrepreneurial Extravaganza festival,Fests
Technothlon 2020 ,Hackathons
Technothlon 2020 ,Hackathons
Techniche 20 ,Hackathons
UiPath Hiring Challenge- Code Your Way In,Hackathons
CrowdStrike Hackathon - Every Second Counts,Hackathons
Lowe’s Campus Hackathon,Hackathons
Alibaba  India Hackathon,Hackathons
exciting Hackathon,Hackathons
Register for CODE4AVAILITY,Hackathons
Location Services Campus Hackathon is live now!!!,Hackathons
Voice Based Payments Hackathon,Hackathons
DevOps Hackathon,Hackathons
The Expert Coder ,Hackathons
try for CAMPUS - CODE STACK19,Hackathons
NEC Open Innovation Hackathon,Hackathons
HERE-a-thon 1 is waiting for you!!,Hackathons
BMC Software Code Warriors,Hackathons
Cognizant Azure Hackathon,Hackathons
Participate in CODE4HealthAsyst ,Hackathons
CodeExpedition: DestinationExpedia,Hackathons
Prime Code Champ 7,Hackathons
Beginner Code Champ 7,Hackathons
HONCODE Challenge,Hackathons
Alexa Skill Pro Challenge,Hackathons
Informatica Code-a-Thon 2018,Hackathons
Honeywell CODE2HON,Hackathons
CODE4VFSGLOBAL,Hackathons
TECHCON 2,Hackathons
TechGig Hour of Code,Hackathons
MagicFiserv Hackathon (Code Challenge),Hackathons
CA Technologies  Combat,Hackathons
Temenos Game of Codes,Hackathons
Hack4Her,Hackathons
Cybage Code Wars,Hackathons
Appathon Season 1,Hackathons
Fareportal Hire-A-Thon 2.0,Hackathons
Nucleus Software - HackBattle,Hackathons
CashKaro App-A-Thon,Hackathons
Amazon Code Combat,Hackathons
Mypoolin Code Contest,Hackathons
The Opus Code Rush 2016,Hackathons
Hour Of Code Challenge,Hackathons
BankBazaar's Coding Samurai,Hackathons
Roposo CodePlay Data Structures,Hackathon
Varanasi - Technex Internships by EISystems & Technex IIT BHU Varanasi. ,Internships
New Delhi - Technex Internships by EISystems & Technex IIT BHU Varanasi. ,Internships
Lucknow - Technex Internships by EISystems & Technex IIT BHU Varanasi. ,Internships
Indore - Technex Internships by EISystems & Technex IIT BHU Varanasi. ,Internships
Gorakhpur - Technex Internships by EISystems & Technex IIT BHU Varanasi ,Internships
Bengaluru - Technex Internships by EISystems & Technex IIT BHU Varanasi. ,Internships
10 Days drone internship ,Internships
Apply for the Machine learning internship!!,Internships
10 hours workshop on Introduction to Computer Hardware: Components & Peripherals,Workshops
Looking for internship in blockchain !!!,Internships
The New Fundamentals of Management workshop (6 Courses Bundle),Workshops
hands on experience in Blockchain with experts with internship opportunities,Internships
work on live projects by becoming an intern  and get a certificate ,Internships
Work on live projects by becoming an intern  with global parterns,Internships
Special talk on The Complete Product Management ,Talks
Register for webinar on The Project Management  Beginner to PROject Manager,Webinars
"Working opportunity with Walls, Floors, and Roofs in Autodesk Revit",Internships
internship program for  a Full-stack .NET Developer?,Internships
work live on Google Cloud Fundamentals: Core Infrastructure,Internships
work on live projects in Machine Learning  Foundations,Internships
internship opportunities in  Web Design: Wireframing,Internships
CodeSpeedy Technology Private Limited is looking for: MachineLearning  Internship.,Internships
See more internships like Technogeekscs -  Machine Learning Institute - Internship Program,Internships
Ansys is looking for: Software Development Intern.,Internships
All You Need is looking for: Digital Marketing Intern.,Internships
Architecting for Security on AWS internship for you,Internships
Website designing company in delhi is hiring,Jobs
BVOP Certified Project Manager,Certifications
Project Management Certificate (PMC),Certifications
PMI Risk Management Professional (PMI-RMP) with certificate,Certifications
Agile Crash Course: Agile Project Management; Agile Delivery,Courses
Opportunity to interact with indusrtry experts on job openings ,Jobs
Attention jobseekers!!!Your wait is over,Jobs
great job opportunities for data scientists.,Jobs
need for a cloud professional,Jobs
need for Microsoft Cloud Developer,Jobs
Explore the Ways to Navigate Your Career in Cybersecurity,Jobs
Recruitment for Cybersecurity Analyst (CySA+): Threat Management,Jobs
recruitment for SQL Server 2017: Indexing for Higher Performance,Jobs
SQL Server 2017: Application Development Best Practices recruitment opportunities,Jobs
Big Data for Enterprise: Managing Data and Values jobs are awaiting,Jobs
DevOps Foundations: Lean and Agile roles to work,Jobs
Business Acumen for Project Managers roles are hiring ,Jobs
Carrier openings for IoT enthusiasts,Jobs
Keeping up with Networking Series roles,Jobs
Certified Project Management Practitioner (CPMP),Certifications
5 Most In-Demand Cyber Security Roles,Jobs
Check Out Top Companies Hiring Now!,Jobs
Cracking Careers in Data Science,Jobs
3 days hands on session forEmbedded Hardware and Operating Systems By EIT Digital ,Workshops
Talk on Bag scholarships for studying abroad!,Talks
Master Class on Studying in the UAE is going *LIVE* in 10 minutes! Grab your seat to attend the talk ,Talks
talk  from experts When to go for study abroad: Spring or Fall?,Talks
Live talk  on What is the cost of studying abroad?,Talks
IG LIVE talk on - University & Alumni Updates | Imperial,Talks
Experttalk  on GATE exam preparation,Talks
Confirm your Seat  for talk - Study in UAE,Talks
Study Medicine in UK - Live Talk with UClan starting in 30 minutes,Talks
Planning to give your GRE Exam soon?register for this talk ,Talks
Webtrackker Review talks,Talks
Talk on CYBER SECURITY - Ethical Hacking ,Talks
Become part of talk on Big Data & Hadoop,Talks
"A speech  and talk on innovation by Dr. Mahesh Panchagnula, Professor of Applied Mechanics, IIT Madras",Talks
"A motivational speech and talk  by Dr. L.S. Ganesh, Professor of Management Studies, IIT Madras",Talks
Talk on MANAGEMENT ETHOS – ANCIENT INDIAN KNOWLEDGE PERSPECTIVE by Prof. Rani Sadasiva Murty ,Talks
Colloquium talk on “Cryptography and it Applications in Information and Cyber Security” by Dr. Vishal Sgaraswat.,Talks
"Talk on ""Cyber Security - Overview, Incidents Services, Risks in Evolving Technologies & Trends"" by Sachidananda S Javli, Director – Cyber Security, PwC India.",Talks
"Talk on ""Cloud Computing and DevOps"" by Jitendra Thethi, AVP of Technology, Innovation at Aricent.",Talks
A special lecture and talk  titled ‘Technology Careers in a Hyperconnected World’ by Mr. K. Ananth Krishnan,Talks
Expert talk  on Analytics in the Cloud with Tableau on AWS,Talks
Live talk  on Why your Organization needs to Migrate on Microsoft Teams,Talks
Talk on Tips and Tricks to Build Effective Dashboards with Tableau Desktop,Talks
 talk on Data Warehousing and Analytics in  Microsoft Azure,Talks
Talk on trending disscussion on Why IT Professionals Must have Critical Thinking Skills for Better Productivity at Work?,Talks
most common talk onWhy Citrix ADC is Important for IT Organizations & Professionals in the Hybrid and Multi-cloud World?,Talks
hear experts talk on How Big Data is Driving Business Transformation,Talks
Expert Lecture and talk  on IOT,Talks
Expert Lecture on Front End Technologies,Talks
Expert Lecture  and talk on IOT,Talks
Widen your career opportunities with ReactJS Training ,Trainings
Web Developer Training ,Trainings
VMware online | certification training ,Trainings
" Programming Foundations Training with JavaScript, HTML and CSS by Duke University ",Trainings
JavaScript Introduction Certification by W3C,Certifications
" HTML, CSS, and Javascript for Web Developers Training by Johns Hopkins",Trainings
 Interactivity with JavaScript by University of Michigan Training for free,Trainings
 Programming for the Web with JavaScript by University of Pennsylvania ,Certifications
Exclusive talk on Modern JavaScript From The Beginning ,Talks
Webinar on  ES6 Javascript: The Complete Developer’s Guide ,Webinars
 JavaScript Essential Training (LinkedIn Learning – Lynda),Certifications
The Complete JavaScript Course 2019: Build Real Projects!,Courses
online webinar  Essentials in JavaScript ES6 - A Fun and Clear Introduction,Webinars
JavaScript Essentials 2019 Mini Course,Courses
The Complete Full-Stack JavaScript Courses!,Courses
START YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Trainings
START YOUR CAREER WITH Javascript TRAINING AT MINDMAJIX ,Trainings
Spring cloud training- Free demo ,Trainings
Software Development Training ,Trainings
Certified Associate in Project Management (CAPM),Certifications
Servicenow Asset Management training FREE Demo ,Trainings
Selenium with python training ,Trainings
Selenium Training using C++,Trainings
Association of International Product Marketing and Management (AIPMM) Certified Brand Manager,Certifications
 American Management Association :Certificate in Analytical Skills,Certifications
Python Training ,Trainings
C++ Training  for free,Trainings
PMP Project Management Professional with certificate,Certifications
Online NLP Training Using Python ,Trainings
"Online Live Training Program - Web Development | Techfest, IIT Bombay ",Trainings
"Online Live Training Program - Python Programming | Techfest, IIT Bombay ",Trainings
"Online Live Training Program - Machine Learning | Techfest, IIT Bombay ",Trainings
"Online Live Training Program - Internet of Things | Techfest, IIT Bombay ",Trainings
"Online Live Training Program - Data Science | Techfest, IIT Bombay ",Trainings
"Online Live Training Program - Cybersecurity | Techfest, IIT Bombay ",Trainings
"Online Live Training Program - Android Development | Techfest, IIT Bombay ",Trainings
JavaScript Bootcamp - Build Real World Applications with our course,Courses
Vue.js Fast Crash Courses,Courses
The Complete Node.js Developer Courses (3rd Edition),Courses
MongoDB Training - Free demo ,Trainings
Mindmajix Provides .NET Training Online with a FREE Demo ,Trainings
JavaScript For Beginners - Learn JavaScript From Scratch with our course,Courses
Microsoft Azure Training Provided by Industry Experts ,Trainings
Microsoft Azure Training by Real Time Experts ,Trainings
jQuery workshop : JavaScript and AJAX Coding Bible,Workshops
Microsoft Azure Training ,Trainings
JavaScript 2019: JavaScript ES6 training,Trainings
Microsoft Azure and Web Services Online Training ,Trainings
Microsoft Certified Solutions Associate (MCSA: Web Applications) Exam 70-480: Programming in HTML5 with JavaScript and CSS3,Certifications
Linux Training In Hyderabad ,Trainings
Linux Security Fundamentals Training ,Trainings
Linux Online Training by Industry Experts ,Trainings
Linux Networking Training ,Trainings
Learn Best AWS Training in Chennai ,Trainings
CIW JavaScript Specialist with a certificate,Certifications
Kubernetes Training ,Trainings
Microsoft Technology Associate (MTA) Exam 98-382: Introduction to Programming Using JavaScript with certification,Certifications
Keras training with Deeep Learning ,Trainings
Join Free demo on java scripting Training ,Trainings
Certified JavaScript Developer,Certifications
IronPython Training at Mindmajix ,Trainings
AWS Networking in depth: Learn practically in 7 hours through our course,Courses
OSI 7 Layers and Networking Background Concepts through our course,Courses
The JavaScript Developer Certificate,Certifications
BUILD YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Trainings
Big Data Online Training ,Trainings
AWS Training in Bangalore ,Trainings
AWS Training in Ahmadabad ,Trainings
IT Networking Fundamentals For Complete Beginners with our exciting courses,Courses
CNP - Certified Network Principles,Certifications
Attend a Free Demo on Oracle Fusion SCM Training ,Trainings
Appium Online Training with a FREE Demo ,Trainings
Apigee online training ,Trainings
Alter your career oracle EBS Training ,Trainings
Ai With Tensorflow Training - Free demo ,Trainings
Training on -Advanced Research Publications Technology Management ,Trainings
Advance Your Career with Oracle SOA Training ,Trainings
Advace your career with sharepoint online training ,Trainings
Adobe analytical Training - Free Demo ,Trainings
Accelerate your career with Netsuite Certification Training ,Trainings
ACCELERATE YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Trainings
IT Networking Fundamentals For Complete Beginners with our exciting courses,Courses
CNP - Certified Network Principles,Certifications
"Register For Siebel CRM Free Live Webinar On 5th July, 7:00 PM (IST) ",Webinars
Free Live Webinar on Salesforce Admin - Learn Salesforce Admin in 60 Minutes ,Webinars
Free Live Webinar on Hyperion Financial  Training ,Webinars
Free Live Webinar on Catia - Learn Catia in 60 Minutes ,Webinars
Webinar on DigitalTransformation by Xpanxion on 23rd June '2020 at 3:30 pm,Webinars
"Webinar on 20 June with Lipika Dey:""Text Analytics for Health Care""",Webinars
"Webinar on 16 June with AbhiramRanade: ""Love CS, Learn CS!""",Webinars
Webinar on IOT applications in Industry 4.0,Webinars
Live Webinar with UClan starting in 30 minutes,Webinars
" Webinar on 9 June with AnuradhaLaxminarayan: ""7 Secrets about Programming that No Teacher/Book Ever ToldYou!""",Webinars
PRTG Network Monitoring Course,Courses
"Webinar on 2 June with SridharChimalakonda: ""What Is Software Engineering Anyway""?",Webinars
 Webinar - Study in UAE,Webinars
Exclusive Webinar on ?Best language for competitive programming ? Reserve your seat today!,Webinars
"Register for ACM India Industry Webinar 6 June with Chitra Lele:""Drug Development and Lifecycle Maintenance--What's It Got to Do withComputing?",Webinars
 Webinar on -Research Documentation tools - LyX andJabRef,Webinars
Join us for a Webinar Session on key takeaways from a Pre-placementtalk,Webinars
"ACM India Industry Webinar with Madhav Marathe, 25 April 2020",Webinars
Google Applied CS: Android Development using data structure online conference,Webinars
attend the online conference on Oracle Data Analytics,Webinars
RBCDSAI's International Summit on AI ,Webinars
A brand new lecture series from NPTEL by experts!,Webinars
Aws cloud 3 day online conference ,Webinars
Session on Present Your Data Effectively With Microsoft Excel and PowerPoint,Webinars
special session on Adobe Illustrator Fundamentals - Walkthrough of the Latest Features and Best Practices,Webinars
Live session Secrets to Become a Network Engineer in a Programmable Age,Webinars
seminar on The Future of IT Service Management (ITSM) with ITIL 4,Webinars
Penetrating Networks for CompTIA PenTest+ webinar,Webinars
Summit on Planning Microsoft Office 365 Workload and Application Deployment,Webinars
Networking with Microsoft Windows Server 2016 (MS-20741B) by learning our course,Courses
"Seminar on How to Pass the Project Management Professional (PMP) Exam, 6th Edition",Webinars
attend a session on How to Become a Cyber-threat Intelligence Analyst,Webinars
seminar on How can Agile Project Management Skills help in Delivering Top-Notch Customer's Delight?,Webinars
online conference on  Develop a Robust IT Security Architecture for Your Enterprise,Webinars
Seminar on 5 Useful Data Analysis Expressions (DAX) Functions for Power BI Professionals,Webinars
online conference on What it Needs to be a Data Scientist - Roadmap Explained?,Webinars
presentation on Beyond Keystroke Logging and Trojans: How to Navigate the Changing Landscape of Cybersecurity,Webinars
3 day online conference on New Cisco Roadmap: Creating a Powerhouse IT Networking Team,Webinars
chance to attend session on Time Management Power Tips: Prioritize Tasks for Better Productivity,Webinars
online conference on Project Management Essentials for Non-project Managers,Webinars
"Angular Architecture: Planning, Organizing and Structuring webinar",Webinars
AWS: What's New in Amazon EC2 through aws experts ,Webinars
"seminar on Clean Architecture: Patterns, Practices, and Principles",Webinars
LIVE ONLINE TECHO WORKSHOP SERIES INCIDENT'20 NITK SURATHKAL & TECHOBYTES ,Workshops
Attend the workshop of machine learning.,Workshops
2 days Workshop on Java and Basic Concepts,Workshops
One day Workshop on Unix / Linux,Workshops
Free Workshop on Data Structure using C language,Workshops
Free Workshop on Data Structure using C language,Workshops
3 days free Workshop on Database Management System,Workshops
Python – IOT Workshop (Phase 1),Workshops
AngularJS Workshop (Pre requisites),Workshops
Hacking Workshop “Anshathon”,Workshops
Hacking Workshop “Anshathon”,Workshops
Seventh RBCDSAI Workshop on Recent Progress in Data Science and AI,Workshops
Hacking Workshop “Anshathon”,Workshops
Basics of Android workshop ,Workshops
"Online Workshop on ""Recent Advances in Science and Technology ofConcrete"" on May 2nd 2020",Workshops
Virtual workshop on Cloud computing ,Workshops
2 day workshop on cybersecurity,Workshops
3 days workshop on  Power BI: Data Analysis Made Easy,Workshops
2 day workshop on Azure DevOps: Understanding Continuous Delivery & DevOps,Workshops
learn How to Build Effective Data Communications with Tableau Desktop 3 day workshops,Workshops
attend 10 hour workshop on Introduction to Data Analysis Using Microsoft Excel,Workshops
8 hours workshop on How to Successfully Migrate Office 365,Workshops
CEH: Understanding Ethical Hacking workshop join now,Workshops
Hands-On  workshop Power BI for Data Visualization,Workshops
hands on  Networking in Windows 10 Devices,Workshops
Project Management: Developing Project Schedules and Budgets a hands on session ,Workshops
Hands on session on software architectural patterns,Workshops
2 days workshop on C and C++ languages,Workshops
Bootcamp on blockchain absolutely free,Workshops
bootcamp on fundamentals of c and java,Workshops
Attend two days bootcamp on IOT applications,Workshops
Bootcamp for ML techies,Workshops
bootcamp on  Align DevOps with IT Service Management (ITSM) ,Workshops
Hands on session on cybersecurity tools,Workshops
 workshop for Boost IT efficiency with DevOps,Workshops
40 hour bootcamp on AI,Workshops
Programming in C - The Complete Course,Courses
TCP/IP Reference Model (Network Communications Courses),Courses
learn our course Computer Networks: A Beginner’s guide to Computer Networking,Courses
Exclusive Talk on The true cost of financial dependence,Talks
Expert lecture and talk  on Let's get honest about our money problems,Talks
Advanced C Programming Courses,Courses
Learn Finance Skills with Finance Online Courses,Courses
Online Financial Modelling - Online Certification program?,Certifications
Course to Learn Programming Technique : C to Master Skills,Courses
1. Top Financial Analysis Courses Online - Updated ,Courses
Top Enterprise Architect Certifications ,Certifications
Certified Software Architect Microsoft Platform ,Certifications
GOTO 2014 Expo • Software Architecture vs. Code • Simon Brown,Expos
A talk on Using sagas to maintain data consistency in a microservice architecture by Chris Richardson,Talks
"Internship program on ""Agile Architecture"" - Molly Dishman & Martin Fowler Keynote",Internships
Online session on Design Patterns in the Light of Lambda Expressions by Subramaniam,Webinars
"Talk on ""Agile Architecture"" - Molly Dishman & Martin Fowler Keynote",Talks
webinar on Software Architecture Conference 2019 – Engineering The ...,Webinars
Global Software Architecture Summit: GSAS,Expos
Internship opportunities in  Software Architecture Reinvented,Internships
Online conference of GIDS.Lead Dev: Refreshing Software Professional Development,Webinars
C Programming For Beginners -Build Bank ATM Machine Software through our course,Courses
Learn IT: Software development - Reference from WhatIs.com through our course,Courses
Live session onBest Practices in Software Development: Interface Overuse ...,Webinars
Understanding the Basics of C Programming by enrolling fr our courses,Courses
summer internships 2020 - 6 Weeks Online Internship?,Internships
Live talk on Develop confidence in  analysis and manegrial finance,Talks
ACM India Industry Webinar on 18 July with Srinivas Padmanabhuni: End to End Testing of AI Systems: Putting Quality Assurance Centre Stage,Webinars
"Register for  Webinar on 25 July with Jonaki Ghosh: ""Computational Thinking in the Mathematics Classroom",Webinars
ACM Chapter Event: TWO DAY VIRTUAL WORKSHOP ON LATEX,Workshops
"Register for ACM India Industry Webinar on 23 May with Manish Gupta: ""AI for India and Beyond""",Webinars
"Register for  Industry Webinar on 9 May with Suparna Bhattacharya: ""AI: When Will System Software Catch Up?""",Webinars
 Webinar on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Webinars
VIP Reminder:  Webinar on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Webinars
 ACM SIGSOFT Learning Webinar with Mathieu Nayrolles: Automated Debug & Profiling of AAA Games,Webinars
"Reminder to Register for ACM India Industry Webinar on 14 December with Sriram Rajamani: ""Program Synthesis Meets Machine Learning""",Webinars
"Reminder:Webinar with Adam Paszke, Co-Author of PyTorch: ""PyTorch: A Modern Library for Machine Learning""",Webinars
"Register for  Industry Webinar on 5 October with Kaarthik Sivakumar: ""Behind the Green Lock: Security for Today's Internet",Webinars
"April 27 ACM SIGSOFT Learning Webinar with Jeff Sutherland and Ivar Jacobson: ""A Better Scrum with Essence""",Webinars
"Reminder to Register for ACM India Industry Webinar on 3 August with Monish Darda: ""The Ethics of AI: Musk versus Bezos""",Webinars
"Register for ACM India Industry Webinar on 2 February with Gautam Shroff: ""Enterprise AI: Automation, Amplification, and Managing Complexity""",Webinars
"ACM India Industry Webinar, Sat Dec 1 at 11am IST with Dr. Pandurang Kamat: ""Blockchain in the Enterprise - Creating Value Beyond the Hype",Webinars
"VIP Reminder: July 8 Webinarwith Author and Python's Pandas Creator Wes McKinney: ""Apache Arrow and the Future of Data Frames""",Webinars
Register for ACM India Student Webinar on 2 June with Sridhar Chimalakonda: ?What Is Software Engineering Anyway??,Webinars
VIP Reminder: May 22 webinar on AWS Lambda with Luke Closs,Webinars
"February 25 ACM SIGAI webinar, ""Autonomous Manipulator Solutions for Mobile Robotics""",Webinars
Webinar on 'Application of AI in Core Engineering' - 25th June 2020 at 4PM,Webinars
"Webinar on""The Future of Management: Agile Leadership and Management 3.0""",Webinars
Register for Webinar : Management 3.0 – A Real Experiment with Agile Management Teams with no managers with Ralph van Roosmalen,Webinars
Webinar on October 2019: Leadership Agility for Modern Organizations and management with David Dame,Webinars
